Ticker,ISIN,LONG_COMP_NAME,CRNCY,PX_LAST,PRIMARY_EXCHANGE_NAME,EQY_PRIM_EXCH_SHRT
OR FP Equity,FR0000120321,L'Oreal SA,EUR,376.6,EN Paris,FP
DG FP Equity,FR0000125486,Vinci SA,EUR,102.88,EN Paris,FP
STLA FP Equity,NL00150001Q9,Stellantis NV,EUR,16.982,EN Paris,FP
URW NA Equity,FR0013326246,Unibail-Rodamco-Westfield,EUR,64.43,EN Amsterdam,NA
TTE FP Equity,FR0000120271,TotalEnergies SE,EUR,51.89,EN Paris,FP
AI FP Equity,FR0000120073,Air Liquide SA,EUR,147.76,EN Paris,FP
DSY FP Equity,FR0014003TT8,Dassault Systemes SE,EUR,42.22,EN Paris,FP
CS FP Equity,FR0000120628,AXA SA,EUR,28.995,EN Paris,FP
ERF FP Equity,FR0014000MR3,Eurofins Scientific SE,EUR,89.59,EN Paris,FP
BNP FP Equity,FR0000131104,BNP Paribas SA,EUR,66.13,EN Paris,FP
BN FP Equity,FR0000120644,Danone SA,EUR,55.84,EN Paris,FP
CAP FP Equity,FR0000125338,Capgemini SE,EUR,201.2,EN Paris,FP
CA FP Equity,FR0000120172,Carrefour SA,EUR,17.15,EN Paris,FP
SGO FP Equity,FR0000125007,Cie de Saint-Gobain,EUR,60.76,EN Paris,FP
EL FP Equity,FR0000121667,EssilorLuxottica SA,EUR,178.2,EN Paris,FP
VIV FP Equity,FR0000127771,Vivendi SE,EUR,11.695,EN Paris,FP
MC FP Equity,FR0000121014,LVMH Moet Hennessy Louis Vuitton SE,EUR,718.5,EN Paris,FP
ML FP Equity,FR0000121261,Cie Generale des Etablissements Michelin SCA,EUR,152,EN Paris,FP
KER FP Equity,FR0000121485,Kering SA,EUR,652.3,EN Paris,FP
PUB FP Equity,FR0000130577,Publicis Groupe SA,EUR,64.48,EN Paris,FP
RNO FP Equity,FR0000131906,Renault SA,EUR,36.355,EN Paris,FP
SAF FP Equity,FR0000073272,Safran SA,EUR,111.62,EN Paris,FP
HO FP Equity,FR0000121329,Thales SA,EUR,81.54,EN Paris,FP
TEP FP Equity,FR0000051807,Teleperformance,EUR,328.4,EN Paris,FP
RMS FP Equity,FR0000052292,Hermes International,EUR,1298,EN Paris,FP
ENGI FP Equity,FR0010208488,Engie SA,EUR,14.534,EN Paris,FP
ORA FP Equity,FR0000133308,Orange SA,EUR,10.782,EN Paris,FP
MT NA Equity,LU1598757687,ArcelorMittal SA,EUR,29.555,EN Amsterdam,NA
EN FP Equity,FR0000120503,Bouygues SA,EUR,32.49,EN Paris,FP
ALO FP Equity,FR0010220475,Alstom SA,EUR,26.88,EN Paris,FP
VIE FP Equity,FR0000124141,Veolia Environnement SA,EUR,33.21,EN Paris,FP
SAN FP Equity,FR0000120578,Sanofi,EUR,94.25,EN Paris,FP
GLE FP Equity,FR0000130809,Societe Generale SA,EUR,35.245,EN Paris,FP
SU FP Equity,FR0000121972,Schneider Electric SE,EUR,150.74,EN Paris,FP
AIR FP Equity,NL0000235190,Airbus SE,EUR,117.36,EN Paris,FP
LR FP Equity,FR0010307819,Legrand SA,EUR,91.96,EN Paris,FP
ACA FP Equity,FR0000045072,Credit Agricole SA,EUR,13.99,EN Paris,FP
RI FP Equity,FR0000120693,Pernod Ricard SA,EUR,193.4,EN Paris,FP
STM FP Equity,NL0000226223,STMicroelectronics NV,EUR,40.515,EN Paris,FP
WLN FP Equity,FR0011981968,Worldline SA/France,EUR,44.32,EN Paris,FP
