Ticker,ISIN,LONG_COMP_NAME,CRNCY,PX_LAST
UNH UN Equity,US91324P1021,UnitedHealth Group Inc,USD,487.21
GS UN Equity,US38141G1040,Goldman Sachs Group Inc/The,USD,370.06
HD UN Equity,US4370761029,Home Depot Inc/The,USD,359.54
MSFT UW Equity,US5949181045,Microsoft Corp,USD,303.24
MCD UN Equity,US5801351017,McDonald's Corp,USD,260.93
AMGN UW Equity,US0311621009,Amgen Inc,USD,238.66
V UN Equity,US92826C8394,Visa Inc,USD,226.43
CRM UN Equity,US79466L3024,salesforce.com Inc,USD,215.00
BA UN Equity,US0970231058,Boeing Co/The,USD,212.81
CAT UN Equity,US1491231015,Caterpillar Inc,USD,200.64
HON UW Equity,US4385161066,Honeywell International Inc,USD,192.50
AXP UN Equity,US0258161092,American Express Co,USD,190.40
AAPL UW Equity,US0378331005,Apple Inc,USD,172.95
TRV UN Equity,US89417E1091,Travelers Cos Inc/The,USD,171.58
JNJ UN Equity,US4781601046,Johnson & Johnson,USD,170.71
MMM UN Equity,US88579Y1010,3M Co,USD,162.46
PG UN Equity,US7427181091,Procter & Gamble Co/The,USD,160.16
JPM UN Equity,US46625H1005,JPMorgan Chase & Co,USD,157.22
NKE UN Equity,US6541061031,NIKE Inc,USD,143.83
DIS UN Equity,US2546871060,Walt Disney Co,USD,142.10
WMT UN Equity,US9311421039,Walmart Inc,USD,138.55
IBM UN Equity,US4592001014,International Business Machines Corp,USD,136.57
CVX UN Equity,US1667641005,Chevron Corp,USD,135.37
MRK UN Equity,US58933Y1055,Merck & Co Inc,USD,76.45
KO UN Equity,US1912161007,Coca-Cola Co/The,USD,62.05
DOW UN Equity,US2605571031,Dow Inc,USD,60.66
CSCO UW Equity,US17275R1023,Cisco Systems Inc/Delaware,USD,55.07
VZ UN Equity,US92343V1044,Verizon Communications Inc,USD,52.82
WBA UW Equity,US9314271084,Walgreens Boots Alliance Inc,USD,49.29
INTC UW Equity,US4581401001,Intel Corp,USD,48.37
