Ticker,ISIN,LONG_COMP_NAME,CRNCY,PX_LAST
OR FP Equity,FR0000120321,L'Oreal SA,EUR,368.9
DG FP Equity,FR0000125486,Vinci SA,EUR,101.36
BBVA SQ Equity,ES0113211835,Banco Bilbao Vizcaya Argentaria SA,EUR,5.885
ASML NA Equity,NL0010273215,ASML Holding NV,EUR,566.5
SAN SQ Equity,ES0113900J37,Banco Santander SA,EUR,3.371
PHIA NA Equity,NL0000009538,Koninklijke Philips NV,EUR,30.105
TTE FP Equity,FR0000120271,TotalEnergies SE,EUR,51.29
AI FP Equity,FR0000120073,Air Liquide SA,EUR,145.82
CS FP Equity,FR0000120628,AXA SA,EUR,28.575
BNP FP Equity,FR0000131104,BNP Paribas SA,EUR,66
BN FP Equity,FR0000120644,Danone SA,EUR,55.63
EL FP Equity,FR0000121667,EssilorLuxottica SA,EUR,174.06
MC FP Equity,FR0000121014,LVMH Moet Hennessy Louis Vuitton SE,EUR,706.1
KER FP Equity,FR0000121485,Kering SA,EUR,643.5
SAF FP Equity,FR0000073272,Safran SA,EUR,108.74
AD NA Equity,NL0011794037,Koninklijke Ahold Delhaize NV,EUR,28.835
IBE SQ Equity,ES0144580Y14,Iberdrola SA,EUR,9.394
RMS FP Equity,FR0000052292,Hermes International,EUR,1269.5
INGA NA Equity,NL0011821202,ING Groep NV,EUR,13.872
STLA IM Equity,NL00150001Q9,Stellantis NV,EUR,16.438
LIN GY Equity,IE00BZ12WP82,Linde PLC,EUR,261.8
PRX NA Equity,NL0013654783,Prosus NV,EUR,71.54
ITX SQ Equity,ES0148396007,Industria de Diseno Textil SA,EUR,25.49
KNEBV FH Equity,FI0009013403,Kone Oyj,EUR,58.06
FLTR ID Equity,IE00BWT6H894,Flutter Entertainment PLC,EUR,129.45
ISP IM Equity,IT0000072618,Intesa Sanpaolo SpA,EUR,2.7695
ENI IM Equity,IT0003132476,Eni SpA,EUR,13.036
ABI BB Equity,BE0974293251,Anheuser-Busch InBev SA/NV,EUR,54.54
ADYEN NA Equity,NL0012969182,Adyen NV,EUR,1682.4
SAN FP Equity,FR0000120578,Sanofi,EUR,93.71
ENEL IM Equity,IT0003128367,Enel SpA,EUR,6.331
SU FP Equity,FR0000121972,Schneider Electric SE,EUR,147.26
ALV GY Equity,DE0008404005,Allianz SE,EUR,229.85
AIR FP Equity,NL0000235190,Airbus SE,EUR,115.64
BAYN GY Equity,DE000BAY0017,Bayer AG,EUR,52.79
BMW GY Equity,DE0005190003,Bayerische Motoren Werke AG,EUR,89.91
CRH ID Equity,IE0001827041,CRH PLC,EUR,44.54
BAS GY Equity,DE000BASF111,BASF SE,EUR,68.2
SIE GY Equity,DE0007236101,Siemens AG,EUR,136.6
VOW3 GY Equity,DE0007664039,Volkswagen AG,EUR,176.46
MUV2 GY Equity,DE0008430026,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,EUR,272.95
SAP GY Equity,DE0007164600,SAP SE,EUR,109.74
RI FP Equity,FR0000120693,Pernod Ricard SA,EUR,190.3
ADS GY Equity,DE000A1EWWW0,adidas AG,EUR,239.1
DTE GY Equity,DE0005557508,Deutsche Telekom AG,EUR,17.35
DPW GY Equity,DE0005552004,Deutsche Post AG,EUR,52.36
MBG GY Equity,DE0007100000,Mercedes-Benz Group AG,EUR,67.56
IFX GY Equity,DE0006231004,Infineon Technologies AG,EUR,32.54
DB1 GY Equity,DE0005810055,Deutsche Boerse AG,EUR,157.1
VNA GY Equity,DE000A1ML7J1,Vonovia SE,EUR,47.59
