Ticker,ISIN,LONG_COMP_NAME,CRNCY,PX_LAST
NESN SW Equity,CH0038863350,Nestle SA,CHF,117.84
ASML NA Equity,NL0010273215,ASML Holding NV,EUR,560.8
ROG SW Equity,CH0012032048,Roche Holding AG,CHF,346.9
MC FP Equity,FR0000121014,LVMH Moet Hennessy Louis Vuitton SE,EUR,705.8
SHEL LN Equity,GB00BP6MXD84,Shell PLC,GBp,2013
NOVN SW Equity,CH0012005267,Novartis AG,CHF,80.14
AZN LN Equity,GB0009895292,AstraZeneca PLC,GBp,8275
NOVOB DC Equity,DK0060534915,Novo Nordisk A/S,DKK,660.1
HSBA LN Equity,GB0005405286,HSBC Holdings PLC,GBp,564
TTE FP Equity,FR0000120271,TotalEnergies SE,EUR,51.54
LIN US Equity,IE00BZ12WP82,Linde PLC,USD,296.765
SAP GR Equity,DE0007164600,SAP SE,EUR,109.7
ULVR LN Equity,GB00B10RZP78,Unilever PLC,GBp,3866.5
SAN FP Equity,FR0000120578,Sanofi,EUR,93.67
DGE LN Equity,GB0002374006,Diageo PLC,GBp,3743.5
SIE GR Equity,DE0007236101,Siemens AG,EUR,136.52
GSK LN Equity,GB0009252882,GlaxoSmithKline PLC,GBp,1643.8
BP/ LN Equity,GB0007980591,BP PLC,GBp,404.55
ALV GR Equity,DE0008404005,Allianz SE,EUR,230.05
OR FP Equity,FR0000120321,L'Oreal SA,EUR,368
SU FP Equity,FR0000121972,Schneider Electric SE,EUR,146.8
BATS LN Equity,GB0002875804,British American Tobacco PLC,GBp,3243.5
BNP FP Equity,FR0000131104,BNP Paribas SA,EUR,66.25
RIO LN Equity,GB0007188757,Rio Tinto PLC,GBp,5626
AI FP Equity,FR0000120073,Air Liquide SA,EUR,145.54
AIR FP Equity,NL0000235190,Airbus SE,EUR,115.12
CFR SW Equity,CH0210483332,Cie Financiere Richemont SA,CHF,129.45
ZURN SW Equity,CH0011075394,Zurich Insurance Group AG,CHF,446.8
BAS GR Equity,DE000BASF111,BASF SE,EUR,68.19
UBSG SW Equity,CH0244767585,UBS Group AG,CHF,19.305
PRX NA Equity,NL0013654783,Prosus NV,EUR,71.5
DTE GR Equity,DE0005557508,Deutsche Telekom AG,EUR,17.276
DG FP Equity,FR0000125486,Vinci SA,EUR,101.1
